,City,DOM,Year_Built,Beds,Sold_Price,Cost_per_sqft,Above_Grade_Finished_sqft,Lat,Lon,year,month,half_bath,full_bath
0,Herndon,0,2019,4,1252430,281.44,4450,38.8907693,-77.3482828,2019,4,1,4
1,Vienna,0,1969,4,950000,416.3,2282,38.945249,-77.265944,2019,5,1,3
3,Vienna,1,1969,5,1070000,468.89,2282,38.945249,-77.265944,2021,4,1,3
5,Springfield,0,1967,5,685000,457.58,1497,38.7886325,-77.22129144,2019,6,0,3
6,Alexandria,0,2019,5,966410,353.74,2732,38.8907693,-77.3482828,2019,6,0,4
7,Alexandria,0,1963,4,550000,374.15,1470,38.8907693,-77.3482828,2019,3,1,2
9,Burke,0,2018,4,709750,328.59,2160,38.789931,-77.274769,2019,2,1,3
10,Annandale,0,1955,3,565000,473.2,1194,38.0276387,-78.7064082,2019,2,0,2
11,Annandale,1,1969,4,765000,311.48,2456,38.830155,-77.245526,2019,5,1,3
12,Herndon,0,2019,5,1608335,227.68,7064,38.8907693,-77.3482828,2019,3,1,6
13,Vienna,0,2019,6,2164885,369.62,5857,38.908293,-77.250908,2019,4,1,7
15,Vienna,26,2019,7,2450000,416.45,5883,38.908293,-77.250908,2021,2,1,7
17,Vienna,0,2019,5,2272872,493.67,4604,36.5615409,-76.2010467,2019,1,1,5
18,Springfield,0,1965,4,500000,302.11,1655,38.8907693,-77.3482828,2019,5,0,3
19,Springfield,0,1972,5,710000,280.74,2529,38.8907693,-77.3482828,2019,4,1,3
20,Mclean,0,1960,4,2000000,1149.43,1740,38.8907693,-77.3482828,2019,6,0,3
21,Herndon,0,2019,5,1306855,278.65,4690,38.8907693,-77.3482828,2019,6,1,5
22,Springfield,0,1987,4,700000,376.34,1860,38.8907693,-77.3482828,2019,6,1,3
23,Annandale,0,2019,6,1435793,335.62,4278,38.2562405,-76.7677453,2019,5,1,6
25,Annandale,29,2019,6,1485000,347.12,4278,38.2562405,-76.7677453,2020,7,1,6
27,Vienna,0,1954,6,911000,321.23,2836,38.894199,-77.26082,2019,6,0,5
32,Falls Church,0,1977,5,1050000,443.41,2368,38.8907693,-77.3482828,2019,5,1,3
33,Falls Church,0,1959,4,1475000,901.59,1636,38.8907693,-77.3482828,2019,2,0,4
35,Fairfax,0,1954,5,725000,472.01,1536,38.906329,-77.39181,2019,6,0,3
36,Mclean,0,1973,5,920000,341.5,2694,38.8907693,-77.3482828,2019,5,1,3
37,Great Falls,0,2004,5,1350000,305.43,4420,38.8907693,-77.3482828,2019,6,1,4
38,Fairfax Station,0,1989,4,965000,166.09,5810,38.749924,-77.330912,2019,6,2,3
40,Fairfax Station,1,1989,4,965000,166.09,5810,38.749924,-77.330912,2019,7,2,3
42,Falls Church,0,1958,4,663000,399.16,1661,38.8907693,-77.3482828,2019,6,0,2
43,Mclean,0,2020,6,2118055,464.18,4563,38.8907693,-77.3482828,2019,5,1,6
44,Vienna,1,2019,5,1585000,397.64,3986,38.8907693,-77.3482828,2019,6,0,4
45,Clifton,1,2019,4,1163050,253.55,4587,38.8907693,-77.3482828,2019,6,1,5
46,Oakton,1,1998,4,1675000,339.89,4928,38.884577,-77.322279,2019,6,1,4
